"KPI_ID","Order","Strategy","Objective","KPI_Name","Unit","Direction","Baseline","Target","Actual","Status","Responsible_Dept","Note_Revision"
"KPI67-01","1","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 1","ร้อยละของประชาชนวัยทำงานอายุ 19-59 ปี มี BMI เกินได้รับการปรับเปลี่ยนพฤติกรรมและมี BMI ลดลง","ร้อยละ","ยิ่งมากยิ่งดี","NA","2","46.63","บรรลุเป้าหมาย","กลุ่มงานควบคุมโรคไม่ติดต่อ",""
"KPI67-02","2","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 1","อัตราความรอบรู้ด้านสุขภาพของผู้ป่วยโรคเบาหวานและโรคความดันโลหิตสูง","ร้อยละ","ยิ่งมากยิ่งดี","NA","71","82.06","บรรลุเป้าหมาย","กลุ่มงานควบคุมโรคไม่ติดต่อ",""
"KPI67-03","3","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 2","จำนวนอำเภอที่ผ่านเกณฑ์คุณภาพการพัฒนาคุณภาพชีวิต","อำเภอ","ยิ่งมากยิ่งดี","25","26","26","บรรลุเป้าหมาย","กลุ่มงานพัฒนาคุณภาพและรูปแบบบริการ",""
"KPI67-04","4","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 2","ร้อยละเด็กปฐมวัยมีพัฒนาการสมวัย","ร้อยละ","ยิ่งมากยิ่งดี","77.61","86","76.33","ไม่บรรลุเป้าหมาย","กลุ่มงานส่งเสริมสุขภาพ",""
"KPI67-05","5","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 2","ร้อยละเด็ก 0-5 ปี มีส่วนสูงดีรูปร่างสมส่วน","ร้อยละ","ยิ่งมากยิ่งดี","67.23","76","64.20","ไม่บรรลุเป้าหมาย","กลุ่มงานส่งเสริมสุขภาพ",""
"KPI67-06","6","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 2","ร้อยละเด็ก 6-14 ปี มีส่วนสูงดีรูปร่างสมส่วน","ร้อยละ","ยิ่งมากยิ่งดี","63.08","64","63.83","ไม่บรรลุเป้าหมาย","กลุ่มงานส่งเสริมสุขภาพ",""
"KPI67-07","7","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 2","ผู้สูงอายุและผู้ที่มีภาวะพึ่งพิงได้รับการดูแลในระบบ Long Term Care และเข้าถึงตามชุดสิทธิประโยชน์","ร้อยละ","ยิ่งมากยิ่งดี","94.6","96","98.40","บรรลุเป้าหมาย","กลุ่มงานส่งเสริมสุขภาพ",""
"KPI67-08","8","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 2","อัตราตายมารดา ไม่เกิน 17 ต่อแสนการเกิดมีชีพ","ต่อแสนการเกิดมีชีพ","ยิ่งน้อยยิ่งดี","10.14","≤15","11.14","บรรลุเป้าหมาย","กลุ่มงานส่งเสริมสุขภาพ",""
"KPI67-09","9","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 2","อัตราตายของทารกแรกเกิดไม่เกิน 3.6 ต่อพันการเกิดมีชีพ","ต่อพันการเกิดมีชีพ","ยิ่งน้อยยิ่งดี","2.7","2.5","3.25","ไม่บรรลุเป้าหมาย","กลุ่มงานส่งเสริมสุขภาพ",""
"KPI67-10","10","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 2","ร้อยละของผู้สูงอายุไม่มีภาวะพึ่งพิง","ร้อยละ","ยิ่งมากยิ่งดี","94.60","95","95.18","บรรลุเป้าหมาย","กลุ่มงานส่งเสริมสุขภาพ",""
"KPI67-11","11","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 2","ร้อยละสตรีอายุ 30-60 ปี กลุ่มเป้าหมายได้รับการคัดกรองมะเร็งปากมดลูกด้วยวิธี HPV DNA","ร้อยละ","ยิ่งมากยิ่งดี","39.53","80","37.96","ไม่บรรลุเป้าหมาย","กลุ่มงานควบคุมโรคไม่ติดต่อ",""
"KPI67-12","12","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 2","ประชาชนอายุ 50-70 ปี (รายใหม่) กลุ่มเป้าหมายได้รับการคัดกรองมะเร็งลำไส้ใหญ่/ไส้ตรงด้วยวิธี FIT Test","ร้อยละ","ยิ่งมากยิ่งดี","NA","55","100.84","บรรลุเป้าหมาย","กลุ่มงานควบคุมโรคไม่ติดต่อ",""
"KPI67-13","13","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 2","กลุ่มเป้าหมาย FIT Test ที่มีผล Positive ได้รับการส่องกล้อง Colonoscopy","ร้อยละ","ยิ่งมากยิ่งดี","57.54","70","90.35","บรรลุเป้าหมาย","กลุ่มงานควบคุมโรคไม่ติดต่อ",""
"KPI67-14","14","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 2","อัตราความครอบคลุมของการค้นหาผู้ป่วยวัณโรคในกลุ่มผู้สัมผัสร่วมบ้าน","ร้อยละ","ยิ่งมากยิ่งดี","75.12","85","100","บรรลุเป้าหมาย","กลุ่มงานควบคุมโรคติดต่อ",""
"KPI67-15","15","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 3","อัตราป่วยโรคเบาหวานและโรคความดันโลหิตสูงรายใหม่ ลดลง","ร้อยละ","ยิ่งมากยิ่งดี","","5 / 1","3.32 / -8.93","บรรลุเป้าหมาย","กลุ่มงานควบคุมโรคไม่ติดต่อ",""
"KPI67-16","16","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 3","จำนวนโรงพยาบาลที่ยกระดับการพัฒนาอนามัยสิ่งแวดล้อมได้ตามเกณฑ์ GREEN & CLEAN Hospital","แห่ง","ยิ่งมากยิ่งดี","","26 / 14 / 5","2 / 17 / 7","บรรลุเป้าหมาย","กลุ่มงานอนามัยสิ่งแวดล้อมและอาชีวอนามัย",""
"KPI67-17","17","ยุทธศาสตร์ที่ 1","เป้าประสงค์ที่ 3","ร้อยละผลิตภัณฑ์สุขภาพและสถานประกอบการมีคุณภาพตามเกณฑ์","ร้อยละ","ยิ่งมากยิ่งดี","NA",">85","100","บรรลุเป้าหมาย","กลุ่มงานคุ้มครองผู้บริโภคและเภสัชสาธารณสุข",""
"KPI67-18","18","ยุทธศาสตร์ที่ 2","เป้าประสงค์ที่ 4","อัตราความสำเร็จของการรักษาวัณโรคปอดรายใหม่","ร้อยละ","ยิ่งมากยิ่งดี","75.26","88","76.55","ไม่บรรลุเป้าหมาย","กลุ่มงานควบคุมโรคติดต่อ",""
"KPI67-19","19","ยุทธศาสตร์ที่ 2","เป้าประสงค์ที่ 4","ร้อยละประชาชนกลุ่มเป้าหมายเป็นโรคพยาธิใบไม้ตับลดลง","ร้อยละ","ยิ่งน้อยยิ่งดี","3.07","2","314.48","ไม่บรรลุเป้าหมาย","กลุ่มงานควบคุมโรคติดต่อ",""
"KPI67-20","20","ยุทธศาสตร์ที่ 2","เป้าประสงค์ที่ 4","อัตราการฆ่าตัวตายสำเร็จ ไม่เกิน 8 ต่อประชากรแสนคน","ต่อแสนประชากร","ยิ่งน้อยยิ่งดี","7.99","7.19","8.69","ไม่บรรลุเป้าหมาย","กลุ่มงานส่งเสริมสุขภาพจิตและยาเสพติด",""
"KPI67-21","21","ยุทธศาสตร์ที่ 2","เป้าประสงค์ที่ 4","อัตราตายผู้ป่วยติดเชื้อในกระแสเลือดแบบรุนแรงชนิด (Community-Acquired) น้อยกว่าร้อยละ 26","ร้อยละ","ยิ่งน้อยยิ่งดี","24.97","24","23.50","บรรลุเป้าหมาย","กลุ่มงานพัฒนาระบบบริการสุขภาพ",""
"KPI67-22","22","ยุทธศาสตร์ที่ 2","เป้าประสงค์ที่ 4","อัตราผู้ป่วยโรคหลอดเลือดสมอง รายใหม่ต่อประชากรแสนคน","ต่อแสนประชากร","ยิ่งน้อยยิ่งดี","274","237","281.40","ไม่บรรลุเป้าหมาย","กลุ่มงานพัฒนาระบบบริการสุขภาพ",""
"KPI67-23","23","ยุทธศาสตร์ที่ 2","เป้าประสงค์ที่ 4","ร้อยละของผู้ป่วย IMC ได้รับการบริบาลฟื้นสภาพและติดตามจนครบ 6 เดือน หรือจน Barthel index = 20 ก่อนครบ 6 เดือน (เป้าหมายร้อยละ 98)","ร้อยละ","ยิ่งมากยิ่งดี","80","98","93.50","ไม่บรรลุเป้าหมาย","กลุ่มงานพัฒนาระบบบริการสุขภาพ",""
"KPI67-24","24","ยุทธศาสตร์ที่ 2","เป้าประสงค์ที่ 4","อัตราการติดเชื้อดื้อยาในกระแสเลือดลดลง ≥50","ร้อยละ","ยิ่งมากยิ่งดี","NA","≥50","44.65","ไม่บรรลุเป้าหมาย","กลุ่มงานคุ้มครองผู้บริโภคและเภสัชสาธารณสุข",""
"KPI67-25","25","ยุทธศาสตร์ที่ 2","เป้าประสงค์ที่ 4","ร้อยละของผู้ป่วยที่มีการวินิจฉัยโรคหลอดเลือดสมอง อัมพฤกษ์ อัมพาต ระยะกลาง (Intermediate Care) ที่ได้รับการดูแลด้วยการแพทย์แผนไทยและการแพทย์ทางเลือก","ร้อยละ","ยิ่งมากยิ่งดี","8","≥20","11.01","ไม่บรรลุเป้าหมาย","กลุ่มงานการแพทย์แผนไทยและการแพทย์ทางเลือก",""
"KPI67-26","26","ยุทธศาสตร์ที่ 2","เป้าประสงค์ที่ 4","ร้อยละผู้ป่วยนอกที่ได้รับบริการ ตรวจ วินิจฉัย รักษาโรค และฟื้นฟูสภาพ ด้วยศาสตร์การแพทย์แผนไทยและการแพทย์ทางเลือก","ร้อยละ","ยิ่งมากยิ่งดี","21.43","≥21","22.09","บรรลุเป้าหมาย","กลุ่มงานการแพทย์แผนไทยและการแพทย์ทางเลือก",""
"KPI67-27","27","ยุทธศาสตร์ที่ 2","เป้าประสงค์ที่ 5","ร้อยละของผู้ป่วยเบาหวานควบคุมน้ำตาลได้","ร้อยละ","ยิ่งมากยิ่งดี","26.60","40","31.79","ไม่บรรลุเป้าหมาย","กลุ่มงานควบคุมโรคไม่ติดต่อ",""
"KPI67-28","28","ยุทธศาสตร์ที่ 2","เป้าประสงค์ที่ 5","ร้อยละของผู้ป่วยความดันโลหิตสูงควบคุมความดันโลหิตได้","ร้อยละ","ยิ่งมากยิ่งดี","53.22","60","59.30","ไม่บรรลุเป้าหมาย","กลุ่มงานควบคุมโรคไม่ติดต่อ",""
"KPI67-29","29","ยุทธศาสตร์ที่ 2","เป้าประสงค์ที่ 5","ร้อยละการจัดตั้งหน่วยบริการปฐมภูมิและเครือข่ายหน่วยบริการปฐมภูมิตามพระราชบัญญัติระบบสุขภาพปฐมภูมิ พ.ศ. 2562","ร้อยละ","ยิ่งมากยิ่งดี","73.00","80","75.29","ไม่บรรลุเป้าหมาย","กลุ่มงานพัฒนาคุณภาพและรูปแบบบริการ",""
"KPI67-30","30","ยุทธศาสตร์ที่ 2","เป้าประสงค์ที่ 5","อัตราส่วนการใช้บริการผู้ป่วยนอกที่หน่วยบริการปฐมภูมิเทียบกับโรงพยาบาลแม่ข่าย (60 : 40)","ร้อยละ","ยิ่งมากยิ่งดี","12.12","80","81.50","บรรลุเป้าหมาย","กลุ่มงานพัฒนาคุณภาพและรูปแบบบริการ",""
"KPI67-31","31","ยุทธศาสตร์ที่ 3","เป้าประสงค์ที่ 6","ร้อยละบุคลากรใน สสอ.ได้รับการพัฒนาสมรรถนะ อย่างน้อย 2 เรื่อง (Regulator & กฎหมายและ พ.ร.บ.สาธารณสุข พ.ศ.2535)","ร้อยละ","ยิ่งมากยิ่งดี","NA","40","69.23","บรรลุเป้าหมาย","กลุ่มงานบริหารทรัพยากรบุคคล",""
"KPI67-32","32","ยุทธศาสตร์ที่ 3","เป้าประสงค์ที่ 6","ร้อยละหน่วยบริการได้รับการพัฒนากำลังคนตามแผนยกระดับระดับบริการสาธารณสุข (SAP)","ร้อยละ","ยิ่งมากยิ่งดี","NA","70","100","บรรลุเป้าหมาย","กลุ่มงานบริหารทรัพยากรบุคคล",""
"KPI67-33","33","ยุทธศาสตร์ที่ 4","เป้าประสงค์ที่ 7","จำนวนนวัตกรรมหรือเทคโนโลยีสุขภาพที่คิดค้นใหม่หรือพัฒนาต่อยอด เพื่อแก้ไขปัญหาสาธารณสุขที่สำคัญจังหวัดขอนแก่น","เรื่อง","ยิ่งมากยิ่งดี","283","300 (เรื่อง)","329","บรรลุเป้าหมาย","กลุ่มงานพัฒนายุทธศาสตร์สาธารณสุข",""
"KPI67-34","34","ยุทธศาสตร์ที่ 4","เป้าประสงค์ที่ 7","จำนวนหน่วยงานสาธารณสุขที่พัฒนาสู่องค์กรดิจิทัล","แห่ง","ยิ่งมากยิ่งดี","","26 แห่ง","20 แห่ง","ไม่บรรลุเป้าหมาย","กลุ่มงานเทคโนโลยีสารสนเทศ",""
"KPI67-35","35","ยุทธศาสตร์ที่ 4","เป้าประสงค์ที่ 7","หน่วยบริการที่มีการบริการการแพทย์ทางไกลตามเกณฑ์ที่กำหนด","ครั้ง/รพ.","ยิ่งมากยิ่งดี","12,392 ครั้ง","รพ.ไม่น้อยกว่า 50% และ ≥5,500 ครั้ง","บรรลุเกณฑ์","บรรลุเป้าหมาย","กลุ่มงานเทคโนโลยีสารสนเทศ",""
"KPI67-36","36","ยุทธศาสตร์ที่ 4","เป้าประสงค์ที่ 8","โรงพยาบาลสังกัดกระทรวงสาธารณสุขมีคุณภาพมาตรฐาน HA ผ่านการรับรอง HA ขั้น 3","แห่ง","ยิ่งมากยิ่งดี","","24 แห่ง","24 แห่ง","บรรลุเป้าหมาย","กลุ่มงานพัฒนาระบบบริการสุขภาพ",""
"KPI67-37","37","ยุทธศาสตร์ที่ 4","เป้าประสงค์ที่ 8","จำนวนสาธารณสุขอำเภอ ผ่านเกณฑ์ SMART สสอ.","แห่ง","ยิ่งมากยิ่งดี","NA","5","5","บรรลุเป้าหมาย","กลุ่มงานพัฒนายุทธศาสตร์สาธารณสุข",""
"KPI67-38","38","ยุทธศาสตร์ที่ 4","เป้าประสงค์ที่ 8","ร้อยละของหน่วยบริการปฐมภูมิ ทุกสังกัด ผ่านเกณฑ์มาตรฐานหน่วยบริการปฐมภูมิ","ร้อยละ","ยิ่งมากยิ่งดี","99.32 (ประเมินตนเอง)","มีพื้นที่นำร่อง","มีพื้นที่นำร่อง","บรรลุเป้าหมาย","กลุ่มงานพัฒนาคุณภาพและรูปแบบบริการ",""
"KPI67-39","39","ยุทธศาสตร์ที่ 4","เป้าประสงค์ที่ 9","จำนวนโรงพยาบาลมีการบริหารการเงินการคลังอย่างมีประสิทธิภาพ","แห่ง","ยิ่งมากยิ่งดี","14 แห่ง (53.84%)","16 แห่ง","22 แห่ง","บรรลุเป้าหมาย","กลุ่มงานประกันสุขภาพ",""
